"Timestamp","1) If you are below the age of 18, do you have parental consent to participating in this survey? ","2) What's your current level of study? ","What part of New York do you reside in? ","Please state your gender.","Please choose the ethnicity that most appropriately describes you.","How often do you use technology for fun? ","Has your use of technology for fun increased or decreased due to COVID? ","How do you spend time on the internet for fun? ","Why do you use social media? ","Do you ever feel any, or more of the following: ","What do you turn to when you experience the issues stated in the previous question? ","Do you agree with any of the following negative effects of technology? ","Do you agree with any of the following positive effects of technology?","How long do you use technology for academic purposes every day?","How productive would you rate yourself?","Has your productivity increased or decreased due to COVID?","How do you use the internet for academic purposes?","How do your parents feel about the change in your use of technology for academic purposes from pre-Covid to present? ","How often do you use technology to check the news?","Where do you get your news from?","What fake news/inaccurate resources have you been exposed to on the internet during the pandemic?","What are a few online services or examples that you trust/use to obtain covid information from?"
"2021/06/14 10:41:44 AM AST","Yes","12th grade","Bronx","Female","Hispanic or Latino","About 1-3 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To be updated on current events and world issues;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","unrealistic views;peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","9","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Reading Research Articles","Neutral","About every day","Social Medias","Lately the rumor of the COVID vaccine being a tracker or having a magnetic force has been spreading around including by social media influencers, this has caused many people globally to rely on these people and not take the COVID vaccine which in fact this is false information, also the misleading information of the down affects of certain vaccines cause people to think that all vaccines have this side effect. ","I follow this phy- oncologist surgeon on tik tok which I completely trust because she shows why the “ vaccine “ is pulled to a magnet. She also shows a list of people ( in the medical field ) that have passed away due to this virus, HOWEVER I do believe you should be careful on who you rely on especially on tik tok because a lot of misleading information goes viral. "
"2021/07/28 10:46:37 AM AST","I am 18+","Undergraduate Student (4th Year)","Manhattan","Female","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To converse with my friends and family;To get the latest news on celebrities","I am worried about school;I'm often sleepy/tired during the daytime","Social Media;Watching TV","Bullying/rumor spread;peer pressure;causes mental health issues","easier to find news/info;Keeps you entertained/upbe;learning new things","1-2 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos","They feel I use technology more than I should/ more than I did before","Once a week","Social Medias","New sources such as Fox News gives false information about the vaccine and Covid ","CNN, CDC, and NBC "
"2021/07/28 11:16:39 AM AST","Yes","12th grade","Brooklyn","Male","Black or African American","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;For academic purposes","I feel lonely;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement","Social Media;Texting My Friends;Consulting a trusted adult;Workout/ exercise","unrealistic views","connecting with friends/family;easier to find news/info;self-expression","10-12 hours","5","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions","They feel I use technology more than I should/ more than I did before","Once a week","Social Medias","People are becoming lazy and dumb because of staying at home a lot and using too much technology.","Google"
"2021/07/28 11:22:12 AM AST","Yes","Undergraduate Student (1st Year)","Brooklyn","Male","Black or African American","About 1-3 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family","I don't feel any of these.","I don't experience any of the issues stated in the previous question","unrealistic views","connecting with friends/family;self-expression;getting support from others","3-9 hours","5","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Virtual Libraries","Neutral","Once in a while","School","The vaccine is not working on some people, and thus the vaccine is useless and it is pointless to get vaccinated.","CBS News"
"2021/07/29 7:54:13 PM AST","Yes","11th grade","Manhattan","Male","Black or African American","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;peer pressure;causes mental health issues","Keeps you entertained/upbe;self-expression;learning new things","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Reading Research Articles","Neutral","About every day","Social Medias","Donald trump had said that putting bleach in your arm will protect you from Coronavirus which isn’t true.","CNN, NBC, CDC"
"2021/07/29 7:59:15 PM AST","I am 18+","Undergraduate Student (1st Year)","Manhattan","Male","White American","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I'm worried about getting COVID;I am worried about my family/ friends/ overseas family","Texting My Friends;Consulting a trusted adult;Talking to my parents","Bullying/rumor spread;peer pressure;causes mental health issues","connecting with friends/family;self-expression;learning new things","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","They feel I use technology more than I should/ more than I did before","Once a week","News Channels","One fake news was that coronavirus wasn’t real and that people haven’t died. ","NBC, CNN, CDC, NEW YORK TIMES, CBS"
"2021/07/29 8:02:10 PM AST","I am 18+","Undergraduate Student (2nd Year)","Manhattan","Female","Middle Eastern (Morocco, Egypt, etc.)","About 1-3 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I feel lonely;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement","Social Media;Consulting a trusted adult;Listening to music;Watching TV;Workout/ exercise","Bullying/rumor spread;unrealistic views;peer pressure","connecting with friends/family;easier to find news/info;Meeting others with same interests","1-2 hours","7","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Reading Research Articles","Positive","About every day","Social Medias","Some fake news is how the vaccine didn’t work.","CNN, CBS, NBC"
"2021/08/01 5:46:00 PM AST","Yes","Undergraduate Student (1st Year)","Brooklyn","Male","South-East Asian (India, Bangladesh, etc.);Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To comment on other people's lives;For academic purposes","I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Talking to my parents","unrealistic views","self-expression","1-2 hours","8","Stayed the same","News Articles;Youtube Videos;Virtual Contests/ competitions/ hackathons","Neutral","Once a month","News Channels","Corona Virus cannot be transmitted with food or touching.","Yahoo News"
"2021/08/01 6:03:36 PM AST","Yes","12th grade","Brooklyn","Male","Hispanic or Latino","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues;To comment on other people's lives","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;self-expression","3-9 hours","9","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Virtual Libraries","Positive","Not too often","I don't check the news","Vaccinated people are completely safe","Google"
"2021/08/01 6:04:11 PM AST","Yes","12th grade","Brooklyn","Male","Hispanic or Latino","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family","I'm worried about getting COVID;I'm often sleepy/tired during the daytime;I'm worried about what I consume","Texting My Friends;Listening to music","unrealistic views;causes distractions/addictions;peer pressure","Keeps you entertained/upbe;self-expression;learning new things","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos","They feel I use technology more than I should/ more than I did before","Sometimes","From friends and family","COVID-19 is Over basically","CNN"
"2021/08/01 6:06:55 PM AST","Yes","11th grade","Brooklyn","Male","South-East Asian (India, Bangladesh, etc.);American Indian or Alaska Native","About 1-3 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To get the latest news on celebrities;To comment on other people's lives;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","harms relationships/ lack of in-person contact;unrealistic views;peer pressure","connecting with friends/family;easier to find news/info;self-expression","3-9 hours","6","Decrease","General school assignments;News Articles;Youtube Videos","They feel I use technology more than I should/ more than I did before","Once a week","From friends and family","Corona is like the common cold","new york times"
"2021/08/01 6:07:28 PM AST","Yes","Undergraduate Student (2nd Year)","Brooklyn","Male","Black or African American;Hispanic or Latino","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To get the latest news on celebrities;To be updated on current events and world issues;To comment on other people's lives;For academic purposes","I feel stressed;I am worried about school;I am worried I don't get enough movement;I'm worried about what I consume","Consulting a trusted adult;Talking to my parents;Guidance counselor","Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","1-2 hours","5","Stayed the same","News Articles;Wikipedia;Virtual Libraries","Neutral","Once a week","Social Medias","Corona is harmless for healthy people","CBS news"
"2021/08/01 6:08:20 PM AST","Yes","12th grade","Brooklyn","Male","Black or African American;Hispanic or Latino","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;causes distractions/addictions;causes mental health issues","Keeps you entertained/upbe;self-expression;getting support from others","3-9 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Virtual Libraries","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","Corona is fake and is made by evil people to decrease the population","GOOGLE"
"2021/08/01 6:09:44 PM AST","Yes","11th grade","Brooklyn","Male","White American;European","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To make new friends;To be updated on current events and world issues;For academic purposes","I feel stressed;I am worried about school;I am worried I don't get enough movement;I'm worried about what I consume","Listening to music;Workout/ exercise","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views","connecting with friends/family;easier to find news/info;self-expression","3-9 hours","8","Decrease","Online Classes/ Attending tutoring sessions/ review sessions","Neutral","About every day","News Channels","Vaccination makes everyone safe.","New York Daily news"
"2021/08/01 6:11:00 PM AST","Yes","9th grade","Brooklyn","Male","White American;Black or African American","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To make new friends;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume","Listening to music;Watching TV;Clubs/ Extracurricular Activites;Workout/ exercise","harms relationships/ lack of in-person contact;causes distractions/addictions;peer pressure","Meeting others with same interests;learning new things","1-2 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions","They feel I use technology more than I should/ more than I did before","Every other day","News Channels","Vaccine for the corona virus is not safe to use specifically for younger kids.","CNN, GOOGLE, YOUTUBE"
"2021/08/01 6:18:49 PM AST","Yes","Undergraduate Student (3rd Year)","Brooklyn","Male","Middle Eastern (Morocco, Egypt, etc.)","About 4-8 hours a day","About the same","Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","unrealistic views","learning new things","3-9 hours","8","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","They feel I use technology more than I should/ more than I did before"," Barely","I don't check the news","People have naturally become immune to COVID-19","GOOGLE "
"2021/08/02 6:47:29 PM AST","Yes","9th grade","Manhattan","Male","White American;European","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","unrealistic views","connecting with friends/family;Meeting others with same interests;Keeps you entertained/upbe","3-9 hours","8","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions","They feel I use technology more than I should/ more than I did before","Once a week","Social Medias","Corona isn't dangerous for healthy people and young people.","Google"
"2021/08/02 6:47:34 PM AST","Yes","9th grade","Manhattan","Male","Black or African American;Hispanic or Latino","About 1-3 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To make new friends;To be updated on current events and world issues","I feel stressed","Listening to music;Workout/ exercise","unrealistic views;causes distractions/addictions;causes mental health issues","self-expression;learning new things","3-9 hours","2","Stayed the same","General school assignments;Youtube Videos","Neutral","Once a week","Social Medias","People with asthma are not vulnerable compared to people without asthma.","Cnn"
"2021/08/02 6:47:59 PM AST","Yes","9th grade","Manhattan","Male","Black or African American;European","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To get updates on the lives of my friends and family;To get the latest news on celebrities;To comment on other people's lives","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;unrealistic views;causes mental health issues","connecting with friends/family;self-expression;learning new things","1-2 hours","3","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Wikipedia;Virtual Libraries;Virtual Contests/ competitions/ hackathons","Positive","Once a week","Online: social media, news, youtube, etc.","COVID was created by Bill Gates.","Social media"
"2021/08/02 6:48:17 PM AST","Yes","9th grade","Manhattan","Male","Hispanic or Latino","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To make new friends;To get the latest news on celebrities;To comment on other people's lives","I feel stressed;I'm worried about getting COVID;I'm constantly unmotivated or feeling down","Texting My Friends;Consulting a trusted adult;Talking to my parents;Clubs/ Extracurricular Activites","Bullying/rumor spread;peer pressure;causes mental health issues","connecting with friends/family;Keeps you entertained/upbe;learning new things","1-2 hours","3","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Positive","Once a week","Social Medias","I have not been exposed to inaccurate/fake news on the internet.","NBC"
"2021/08/02 6:48:28 PM AST","I am 18+","Undergraduate Student (3rd Year)","Manhattan","Male","South-East Asian (India, Bangladesh, etc.);Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 1-3 hours a day","Increased","Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I feel stressed;I feel lonely;I am worried I don't get enough movement;I'm worried about what I consume","Guidance counselor;Listening to music;Watching TV","harms relationships/ lack of in-person contact;unrealistic views","self-expression;getting support from others;learning new things","1-2 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos","Neutral","Rarely","From friends and family","Not sure","CDC"
"2021/08/02 6:48:48 PM AST","I am 18+","Undergraduate Student (3rd Year)","Manhattan","Male","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.);American Indian or Alaska Native","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues","I'm constantly unmotivated or feeling down","Clubs/ Extracurricular Activites;Reading","harms relationships/ lack of in-person contact;unrealistic views;Spread of fake news/ misinformation","connecting with friends/family;self-expression;learning new things","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions","Neutral","Every other day","News Channels","Side effects of the vaccine used to not be spoken of much.","ABC"
"2021/08/02 6:49:02 PM AST","Yes","12th grade","Manhattan","Male","Middle Eastern (Morocco, Egypt, etc.)","About 1-3 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;Keeps you entertained/upbe;self-expression","3-9 hours","8","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Wikipedia","They feel I use technology more than I should/ more than I did before","Sometimes","I don't check the news","vaccine is not properly tested and is not safe for use","yahoo"
"2021/08/02 6:49:10 PM AST","Yes","12th grade","Manhattan","Male","Black or African American","About 1-3 hours a day","Decreased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To be updated on current events and world issues;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","harms relationships/ lack of in-person contact;unrealistic views;causes mental health issues","self-expression;learning new things","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Wikipedia;Reading Research Articles","Neutral","Once a week","News Channels","N/A","Not sure"
"2021/08/02 9:25:09 PM AST","I am 18+","Undergraduate Student (3rd Year)","Manhattan","Male","White American","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To make new friends;To get the latest news on celebrities;To comment on other people's lives","I'm worried about getting COVID","Watching TV","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views","connecting with friends/family;Meeting others with same interests;Keeps you entertained/upbe","1-2 hours","6","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Wikipedia","Positive","Once a week","Social Medias","Some fake news I got was that the vaccine isn’t effective.","CNN, NBC, CDC"
"2021/08/02 9:47:12 PM AST","Yes","12th grade","Manhattan","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I'm worried about getting COVID","Social Media;Texting My Friends;Talking to my parents","Bullying/rumor spread;causes distractions/addictions;causes mental health issues","connecting with friends/family;Keeps you entertained/upbe;getting support from others","3-9 hours","8","Increase","Youtube Videos;Virtual Libraries","Positive","Once a week","From friends and family","Some fake news was that Covid wasn’t real and that people didn’t die. Even the ex president said how Covid was a hoax.","CNN, CDC"
"2021/08/02 9:56:48 PM AST","I am 18+","Undergraduate Student (2nd Year)","Brooklyn","Male","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Decreased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family","I'm worried about getting COVID;I am worried about school","Consulting a trusted adult;Talking to my parents;Guidance counselor","Bullying/rumor spread;causes distractions/addictions;causes mental health issues","connecting with friends/family;Keeps you entertained/upbe;getting support from others","3-9 hours","5","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos","They feel I use technology more than I should/ more than I did before","About every day","News Channels","When the vaccine came out, people said that if you get Covid you don’t need the vaccine but that is not true. It gives you some sort of immunity but the vaccine is essential ","NBC, CNN, CDC"
"2021/08/02 10:07:15 PM AST","Yes","10th grade","Brooklyn","Female","American Indian or Alaska Native","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get the latest news on celebrities;To comment on other people's lives","I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement","Social Media;Texting My Friends;Listening to music;Watching TV","Bullying/rumor spread;causes distractions/addictions;Spread of fake news/ misinformation","Meeting others with same interests;Keeps you entertained/upbe;getting support from others","3-9 hours","5","Decrease","General school assignments;Documentaries;Virtual Contests/ competitions/ hackathons","Positive","Once a week","Social Medias","A Facebook post said how the vaccine will be given to everyone during the beginning but it seemed like only essential workers got the vaccine first.","CNN, CDC, NBC, Washington post"
"2021/08/02 11:02:56 PM AST","I am 18+","Undergraduate Student (2nd Year)","Bronx","Male","Black or African American","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues;To comment on other people's lives","I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement","Social Media;Texting My Friends;Consulting a trusted adult;Talking to my parents","Bullying/rumor spread;unrealistic views;causes mental health issues","easier to find news/info;Keeps you entertained/upbe;getting support from others","3-9 hours","5","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Wikipedia;Reading Research Articles","Neutral","Once a week","Social Medias","People said how the vaccine doesn’t work","CNN, CDC, NBC, The New York Times"
"2021/08/02 11:06:36 PM AST","Yes","9th grade","Bronx","Female","Black or African American","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get the latest news on celebrities;To comment on other people's lives","I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement","Social Media;Texting My Friends;Listening to music;Watching TV","Bullying/rumor spread;unrealistic views;peer pressure","connecting with friends/family;Keeps you entertained/upbe;self-expression","3-9 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries","Neutral","One every two weeks","Social Medias","A post on Instagram said how the vaccine was deadly.","CNN, CDC, NBC"
"2021/08/02 11:09:29 PM AST","I am 18+","Undergraduate Student (1st Year)","Manhattan","Male","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","4-10 hours","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To get updates on the lives of my friends and family;To be updated on current events and world issues;To comment on other people's lives","I feel stressed;I'm worried about getting COVID","Social Media;Texting My Friends;Watching TV","Bullying/rumor spread;harms relationships/ lack of in-person contact;peer pressure","connecting with friends/family;Meeting others with same interests;getting support from others","3-9 hours","3","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Neutral","Every other day","From friends and family","Reporters from Fox News said how Covid wasn’t real","CDC and NBC "
"2021/08/02 11:11:20 PM AST","Yes","7th grade","Brooklyn","Female","Hispanic or Latino","About 1-3 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To make new friends","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;peer pressure","easier to find news/info;self-expression","1-2 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;Documentaries;Reading Research Articles","Neutral","Every other day","From friends and family","I saw on a Twitter post that masks don’t help prevent Covid ","CDC and CNN"
"2021/08/02 11:16:31 PM AST","I am 18+","Undergraduate Student (3rd Year)","Bronx","Male","Hispanic or Latino","About 4-8 hours a day","About the same","Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To be updated on current events and world issues","I'm worried about getting COVID","Social Media;Texting My Friends;Watching TV;Workout/ exercise","Bullying/rumor spread;unrealistic views;Spread of fake news/ misinformation","connecting with friends/family;getting support from others;learning new things","3-9 hours","5","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Documentaries","They feel I use technology more than I should/ more than I did before","About every day","School","The president said how injecting bleach into your arms will protect you from Covid ","CDC and Washington Post"
"2021/08/02 11:31:46 PM AST","I am 18+","Undergraduate Student (3rd Year)","Manhattan","Female","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To make new friends;To be updated on current events and world issues","I feel lonely;I am worried I don't get enough movement","Texting My Friends;Consulting a trusted adult;Listening to music","unrealistic views;causes mental health issues","easier to find news/info;self-expression","1-2 hours","6","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Wikipedia","Positive","About every day","News Channels","Some fake news is how the vaccine is fake","CDC and CNN are online services that I trust"
